Year,Pitcher,League,Type,Wins,Win pct,Saves,ERA,Strikeouts,Innings pitched,Cy Young
1980,S. Carlton,NL,Starter,24,0.727,1,2.34,286,304,1
1980,J. Niekro,NL,Starter,20,0.625,1,3.55,127,256,0
1980,B. Sutter,NL,Reliever,5,0.385,28,2.65,76,102,0
1980,T. Hume,NL,Reliever,9,0.474,25,2.56,68,137,0
1980,S. Stone,AL,Starter,25,0.781,1,3.23,149,251,1
1980,M. Norris,AL,Starter,22,0.71,1,2.54,180,284,0
1980,D. Quisenberry,AL,Reliever,12,0.632,33,3.09,37,128,0
1980,G. Gossage,AL,Reliever,6,0.75,33,2.27,103,99,0
1982,S. Carlton,NL,Starter,23,0.676,1,3.1,286,296,1
1982,S. Rogers,NL,Starter,19,0.704,1,2.4,179,277,0
1982,B. Sutter,NL,Reliever,9,0.529,36,2.9,61,102,0
1982,G. Garber,NL,Reliever,8,0.444,30,2.34,68,119,0
1982,L. Hoyt,AL,Starter,19,0.559,1,3.53,124,240,0
1982,P. Vuckovich,AL,Starter,18,0.75,1,3.34,105,224,1
1982,D. Quisenberry,AL,Reliever,9,0.563,35,2.57,46,137,0
1982,G. Gossage,AL,Reliever,4,0.444,30,2.23,102,93,0
1983,J. Denny,NL,Starter,19,0.76,1,2.37,139,243,1
1983,M. Soto,NL,Starter,17,0.567,1,2.7,242,274,0
1983,L. Smith,NL,Reliever,4,0.286,29,1.65,91,103,0
1983,A. Holland,NL,Reliever,8,0.667,25,2.26,100,92,0
1983,L. Hoyt,AL,Starter,24,0.706,1,3.66,148,261,1
1983,R. Dotson,AL,Starter,22,0.759,1,3.23,137,240,0
1983,D. Quisenberry,AL,Reliever,5,0.625,45,1.94,48,139,0
1983,B. Stanley,AL,Reliever,8,0.444,33,2.85,65,145,0
1984,R. Sutcliffe,NL,Starter,20,0.769,1,3.64,213,245,1
1984,J. Andujar,NL,Starter,20,0.588,1,3.34,147,261,0
1984,B. Sutter,NL,Reliever,5,0.417,45,1.54,77,123,0
1984,L. Smith,NL,Reliever,9,0.563,33,3.65,112,98,0
1984,M. Boddicker,AL,Starter,20,0.645,1,2.79,128,261,0
1984,B. Blyleven,AL,Starter,19,0.731,1,2.87,170,245,0
1984,D. Quisenberry,AL,Reliever,6,0.667,44,2.64,41,129,0
1984,W. Hernandez,AL,Reliever,9,0.75,35,1.92,120,140,1
1985,D. Gooden,NL,Starter,24,0.857,1,1.53,268,277,1
1985,J. Tudor,NL,Starter,21,0.724,1,1.93,169,275,0
1985,J. Reardon,NL,Reliever,2,0.2,41,3.18,67,88,0
1985,L. Smith,NL,Reliever,7,0.636,33,3.04,112,98,0
1985,R. Guidry,AL,Starter,22,0.786,1,3.27,143,259,0
1985,B. Saberhagen,AL,Starter,20,0.769,1,2.87,158,235,1
1985,D. Quisenberry,AL,Reliever,8,0.471,37,2.37,54,129,0
1985,B. James,AL,Reliever,8,0.533,32,2.13,32,58,0
1986,F. Valenzuela,NL,Starter,21,0.656,1,3.14,230,269,0
1986,M. Scott,NL,Starter,18,0.643,1,2.22,306,275,1
1986,T. Worrell,NL,Reliever,9,0.474,36,2.08,73,104,0
1986,J. Reardon,NL,Reliever,7,0.438,35,3.94,67,89,0
1986,R. Clemens,AL,Starter,24,0.857,1,2.48,238,254,1
1986,J. Morris,AL,Starter,21,0.724,1,3.27,223,267,0
1986,D. Righetti,AL,Reliever,8,0.5,46,2.45,83,107,0
1986,D. Aase,AL,Reliever,6,0.462,34,2.98,67,82,0
1987,R. Sutcliffe,NL,Starter,18,0.643,1,3.68,174,237,0
1987,S. Rawley,NL,Starter,17,0.607,1,4.39,123,230,0
1987,S. Bedrosian,NL,Reliever,5,0.625,42,2.83,74,89,1
1987,L. Smith,NL,Reliever,4,0.286,35,3.12,96,84,0
1987,R. Clemens,AL,Starter,20,0.69,1,2.97,256,282,1
1987,D. Stewart,AL,Starter,20,0.606,1,3.68,205,261,0
1987,T. Henke,AL,Reliever,0,0,34,2.49,128,94,0
1987,J. Reardon,AL,Reliever,8,0.5,31,4.48,83,80,0
1988,D. Jackson,NL,Starter,23,0.742,1,2.73,161,260,0
1988,O. Hershiser,NL,Starter,23,0.742,2,2.26,178,267,1
1988,J. Franco,NL,Reliever,6,0.5,39,1.57,46,86,0
1988,Gott,NL,Reliever,6,0.5,34,3.49,76,77,0
1988,F. Viola,AL,Starter,24,0.774,1,2.64,193,255,1
1988,D. Stewart,AL,Starter,21,0.636,1,3.23,192,276,0
1988,D. Eckersley,AL,Reliever,4,0.667,45,2.35,70,73,0
1988,J. Reardon,AL,Reliever,2,0.333,42,2.47,56,73,0
1989,M. Scott,NL,Starter,20,0.667,1,3.1,172,229,0
1989,G. Maddux,NL,Starter,19,0.613,1,2.95,135,238,0
1989,M. Davis,NL,Reliever,6,0.571,44,1.85,92,93,1
1989,M. Williams,NL,Reliever,4,0.5,36,2.76,67,82,0
1989,B. Saberhagen,AL,Starter,23,0.793,1,2.16,193,262,1
1989,D. Stewart,AL,Starter,21,0.7,1,3.32,155,258,0
1989,P. Russell,AL,Reliever,6,0.6,38,1.98,77,73,0
1989,B. Thigpen,AL,Reliever,2,0.25,34,3.76,47,79,0
1990,D. Drabek,NL,Starter,22,0.786,1,2.76,131,231,1
1990,F. Viola,NL,Starter,20,0.625,1,2.67,182,250,0
1990,J. Franco,NL,Reliever,5,0.625,33,2.53,56,68,0
1990,R. Myers,NL,Reliever,4,0.4,31,2.08,98,87,0
